Number of 1,Number of 9,k,True 1,True 9,False 9,False 1
264,177,1,261,177,3,0
264,177,3,261,177,3,0
264,177,5,261,177,3,0
264,177,7,261,177,3,0
264,177,9,261,177,3,0
264,177,11,261,177,3,0
264,177,13,261,177,3,0
264,177,15,261,177,3,0
