K,Accuracy,Misclassification,Precision of 1,Precision of 9,Recall of 1,Recall of 9
1,0.9932,0.0068,1.0,0.98333,0.98864,1.0
3,0.9932,0.0068,1.0,0.98333,0.98864,1.0
5,0.9932,0.0068,1.0,0.98333,0.98864,1.0
7,0.9932,0.0068,1.0,0.98333,0.98864,1.0
9,0.9932,0.0068,1.0,0.98333,0.98864,1.0
11,0.9932,0.0068,1.0,0.98333,0.98864,1.0
13,0.9932,0.0068,1.0,0.98333,0.98864,1.0
15,0.9932,0.0068,1.0,0.98333,0.98864,1.0
