Number of 0,Number of 3,k,True 0,True 3,False 3,False 0
359,166,1,356,161,3,5
359,166,3,356,161,3,5
359,166,5,357,161,2,5
359,166,7,357,161,2,5
359,166,9,357,161,2,5
359,166,11,357,161,2,5
359,166,13,357,161,2,5
359,166,15,357,161,2,5
