K,Accuracy,Misclassification,Precision of 2,Precision of 7,Recall of 2,Recall of 7
1,0.98261,0.01739,0.99485,0.96689,0.97475,0.9932
3,0.98551,0.01449,0.99487,0.97333,0.9798,0.9932
5,0.98551,0.01449,0.99487,0.97333,0.9798,0.9932
7,0.98261,0.01739,0.9898,0.97315,0.9798,0.98639
9,0.98261,0.01739,0.9898,0.97315,0.9798,0.98639
11,0.98261,0.01739,0.9898,0.97315,0.9798,0.98639
13,0.97971,0.02029,0.98974,0.96667,0.97475,0.98639
15,0.97971,0.02029,0.98974,0.96667,0.97475,0.98639
