feature subset,RSS
"(0, 1, 2, 5, 7)",33.9164914747
"(0, 1, 2, 6, 7)",34.8024586277
"(0, 1, 3, 4, 5)",32.3228367956
"(0, 1, 3, 4, 6)",32.6368483297
"(0, 1, 3, 4, 7)",32.0694473323
"(0, 1, 3, 5, 6)",35.6655359249
"(0, 1, 3, 5, 7)",33.8355252429
"(0, 1, 3, 6, 7)",34.038136966
"(0, 1, 4, 5, 6)",33.6497909289
"(0, 1, 4, 5, 7)",32.2175333843
"(0, 1, 4, 6, 7)",34.0574772541
"(0, 1, 5, 6, 7)",34.5486325317
"(0, 2, 3, 4, 5)",35.1596579027
"(0, 2, 3, 4, 6)",35.6727900247
"(0, 2, 3, 4, 7)",35.1306376854
"(0, 2, 3, 5, 6)",39.5941936866
"(0, 2, 3, 5, 7)",37.6944702903
"(0, 2, 3, 6, 7)",37.7193358547
"(0, 2, 4, 5, 6)",40.9904299819
"(0, 2, 4, 5, 7)",39.6222674226
"(0, 2, 4, 6, 7)",41.6884836857
"(0, 2, 5, 6, 7)",42.0695120889
"(0, 3, 4, 5, 6)",35.2077687454
"(0, 3, 4, 5, 7)",33.9535379815
"(0, 3, 4, 6, 7)",35.2732610652
"(0, 3, 5, 6, 7)",37.5711899565
"(0, 4, 5, 6, 7)",39.3921879917
"(1, 2, 3, 4, 5)",46.6958980878
"(1, 2, 3, 4, 6)",45.2846987374
"(1, 2, 3, 4, 7)",44.4723570357
"(1, 2, 3, 5, 6)",53.0930432638
"(1, 2, 3, 5, 7)",51.9509499864
"(1, 2, 3, 6, 7)",56.1101646223
"(1, 2, 4, 5, 6)",47.5745831752
"(1, 2, 4, 5, 7)",47.3086909844
"(1, 2, 4, 6, 7)",47.0007483121
"(1, 2, 5, 6, 7)",53.3391620036
"(1, 3, 4, 5, 6)",45.0629776536
"(1, 3, 4, 5, 7)",44.5351765594
"(1, 3, 4, 6, 7)",44.5309216667
"(1, 3, 5, 6, 7)",52.1044857963
"(1, 4, 5, 6, 7)",47.0072780816
"(2, 3, 4, 5, 6)",51.7755967535
"(2, 3, 4, 5, 7)",51.1460436296
"(2, 3, 4, 6, 7)",51.4919745578
"(2, 3, 5, 6, 7)",61.8057468257
"(2, 4, 5, 6, 7)",60.8429006453
"(3, 4, 5, 6, 7)",51.1130544237
"(0, 1, 2, 3, 4, 5)",31.8128306598
"(0, 1, 2, 3, 4, 6)",31.8053169018
"(0, 1, 2, 3, 4, 7)",31.1955946152
"(0, 1, 2, 3, 5, 6)",34.6892732506
"(0, 1, 2, 3, 5, 7)",32.6037506584
"(0, 1, 2, 3, 6, 7)",33.1425442848
"(0, 1, 2, 4, 5, 6)",33.0867831418
"(0, 1, 2, 4, 5, 7)",31.572711026
