# Number of 1,Number of 9,lambda,True A,True B,False B,False A
264,177,0.1,261,177,3,0
264,177,0.3,261,177,3,0
264,177,0.5,261,177,3,0
264,177,0.7,261,177,3,0
264,177,0.9,260,177,4,0
264,177,1.1,260,177,4,0
264,177,1.3,260,177,4,0
264,177,1.5,260,177,4,0
264,177,1.7,260,177,4,0
264,177,1.9,260,177,4,0
264,177,2.1,260,177,4,0
264,177,2.3,260,177,4,0
264,177,2.5,260,177,4,0
264,177,2.7,260,177,4,0
264,177,2.9,260,177,4,0
264,177,3.1,260,177,4,0
264,177,3.3,260,177,4,0
264,177,3.5,260,177,4,0
264,177,3.7,260,177,4,0
264,177,3.9,260,177,4,0
264,177,4.1,260,177,4,0
264,177,4.3,260,177,4,0
264,177,4.5,260,177,4,0
264,177,4.7,260,177,4,0
264,177,4.9,260,177,4,0
264,177,5.1,260,177,4,0
264,177,5.3,260,177,4,0
264,177,5.5,260,177,4,0
264,177,5.7,260,177,4,0
264,177,5.9,260,177,4,0
264,177,6.1,260,177,4,0
264,177,6.3,260,177,4,0
264,177,6.5,260,177,4,0
264,177,6.7,260,177,4,0
264,177,6.9,260,177,4,0
264,177,7.1,260,177,4,0
264,177,7.3,260,177,4,0
264,177,7.5,260,177,4,0
264,177,7.7,260,177,4,0
264,177,7.9,260,177,4,0
264,177,8.1,260,177,4,0
264,177,8.3,260,177,4,0
264,177,8.5,260,177,4,0
264,177,8.7,260,177,4,0
264,177,8.9,260,177,4,0
264,177,9.1,260,177,4,0
264,177,9.3,260,177,4,0
264,177,9.5,260,177,4,0
264,177,9.7,260,177,4,0
264,177,9.9,260,177,4,0
264,177,10.1,260,177,4,0
264,177,10.3,260,177,4,0
264,177,10.5,260,177,4,0
264,177,20.0,260,177,4,0
264,177,30.0,260,177,4,0
264,177,40.0,260,177,4,0
264,177,50.0,260,177,4,0
264,177,60.0,260,177,4,0
264,177,70.0,260,177,4,0
264,177,80.0,260,177,4,0
264,177,90.0,260,177,4,0
264,177,100.0,260,177,4,0
