# Lambda,Accuracy,Misclassification,Precision of 2,Precision of 7,Recall of 2,Recall of 7
0.2,0.98261,0.01739,0.98000,0.98621,0.98990,0.97279
0.4,0.98261,0.01739,0.98000,0.98621,0.98990,0.97279
0.6,0.98261,0.01739,0.98000,0.98621,0.98990,0.97279
0.8,0.98261,0.01739,0.98000,0.98621,0.98990,0.97279
1.0,0.98261,0.01739,0.98000,0.98621,0.98990,0.97279
1.2,0.98261,0.01739,0.98000,0.98621,0.98990,0.97279
1.4,0.98261,0.01739,0.98000,0.98621,0.98990,0.97279
1.6,0.98551,0.01449,0.98492,0.98630,0.98990,0.97959
1.8,0.98551,0.01449,0.98492,0.98630,0.98990,0.97959
2.0,0.98841,0.01159,0.98990,0.98639,0.98990,0.98639
2.2,0.98841,0.01159,0.98990,0.98639,0.98990,0.98639
2.4,0.98841,0.01159,0.98990,0.98639,0.98990,0.98639
2.6,0.98841,0.01159,0.98990,0.98639,0.98990,0.98639
2.8,0.98551,0.01449,0.98492,0.98630,0.98990,0.97959
3.0,0.98551,0.01449,0.98492,0.98630,0.98990,0.97959
3.2,0.98551,0.01449,0.98492,0.98630,0.98990,0.97959
3.4,0.98551,0.01449,0.98492,0.98630,0.98990,0.97959
3.6,0.98551,0.01449,0.98492,0.98630,0.98990,0.97959
3.8,0.98551,0.01449,0.98492,0.98630,0.98990,0.97959
4.0,0.98551,0.01449,0.98492,0.98630,0.98990,0.97959
4.2,0.98551,0.01449,0.98492,0.98630,0.98990,0.97959
4.4,0.98551,0.01449,0.98492,0.98630,0.98990,0.97959
4.6,0.98551,0.01449,0.98492,0.98630,0.98990,0.97959
4.8,0.98551,0.01449,0.98492,0.98630,0.98990,0.97959
5.0,0.98551,0.01449,0.98492,0.98630,0.98990,0.97959
5.2,0.98551,0.01449,0.98492,0.98630,0.98990,0.97959
5.4,0.98551,0.01449,0.98492,0.98630,0.98990,0.97959
5.6,0.98551,0.01449,0.98492,0.98630,0.98990,0.97959
5.8,0.98551,0.01449,0.98492,0.98630,0.98990,0.97959
6.0,0.98551,0.01449,0.98492,0.98630,0.98990,0.97959
6.2,0.98551,0.01449,0.98492,0.98630,0.98990,0.97959
6.4,0.98551,0.01449,0.98492,0.98630,0.98990,0.97959
6.6,0.98551,0.01449,0.98492,0.98630,0.98990,0.97959
6.8,0.98551,0.01449,0.98492,0.98630,0.98990,0.97959
7.0,0.98551,0.01449,0.98492,0.98630,0.98990,0.97959
7.2,0.98551,0.01449,0.98492,0.98630,0.98990,0.97959
7.4,0.98551,0.01449,0.98492,0.98630,0.98990,0.97959
7.6,0.98551,0.01449,0.98492,0.98630,0.98990,0.97959
7.8,0.98551,0.01449,0.98492,0.98630,0.98990,0.97959
8.0,0.98551,0.01449,0.98492,0.98630,0.98990,0.97959
8.2,0.98551,0.01449,0.98492,0.98630,0.98990,0.97959
8.4,0.98551,0.01449,0.98492,0.98630,0.98990,0.97959
8.6,0.98551,0.01449,0.98492,0.98630,0.98990,0.97959
8.8,0.98551,0.01449,0.98492,0.98630,0.98990,0.97959
9.0,0.98551,0.01449,0.98492,0.98630,0.98990,0.97959
9.2,0.98551,0.01449,0.98492,0.98630,0.98990,0.97959
9.4,0.98551,0.01449,0.98492,0.98630,0.98990,0.97959
9.6,0.98551,0.01449,0.98492,0.98630,0.98990,0.97959
9.8,0.98551,0.01449,0.98492,0.98630,0.98990,0.97959
10.0,0.98551,0.01449,0.98492,0.98630,0.98990,0.97959
10.2,0.98551,0.01449,0.98492,0.98630,0.98990,0.97959
10.4,0.98551,0.01449,0.98492,0.98630,0.98990,0.97959
20.0,0.98551,0.01449,0.98492,0.98630,0.98990,0.97959
30.0,0.98841,0.01159,0.98990,0.98639,0.98990,0.98639
40.0,0.99130,0.00870,0.98995,0.99315,0.99495,0.98639
50.0,0.99130,0.00870,0.98995,0.99315,0.99495,0.98639
60.0,0.99130,0.00870,0.98995,0.99315,0.99495,0.98639
70.0,0.99130,0.00870,0.98995,0.99315,0.99495,0.98639
80.0,0.99130,0.00870,0.98995,0.99315,0.99495,0.98639
90.0,0.99130,0.00870,0.98995,0.99315,0.99495,0.98639
100.0,0.99130,0.00870,0.98995,0.99315,0.99495,0.98639
