# Number of 7,Number of 2,lambda,True A,True B,False B,False A
147,198,0.0,134,197,13,1
147,198,0.2,135,197,12,1
147,198,0.4,135,197,12,1
147,198,0.6,135,197,12,1
147,198,0.8,135,197,12,1
147,198,1.0,135,197,12,1
147,198,1.2,135,197,12,1
147,198,1.4,135,197,12,1
147,198,1.6,135,197,12,1
147,198,1.8,135,197,12,1
147,198,2.0,135,197,12,1
147,198,2.2,135,197,12,1
147,198,2.4,135,197,12,1
147,198,2.6,135,197,12,1
147,198,2.8,135,197,12,1
147,198,3.0,135,197,12,1
147,198,3.2,135,197,12,1
147,198,3.4,135,197,12,1
147,198,3.6,135,197,12,1
147,198,3.8,135,197,12,1
147,198,4.0,135,197,12,1
147,198,4.2,135,197,12,1
147,198,4.4,135,197,12,1
147,198,4.6,135,197,12,1
147,198,4.8,136,197,11,1
147,198,5.0,137,197,10,1
147,198,5.2,137,197,10,1
147,198,5.4,137,197,10,1
147,198,5.6,137,197,10,1
147,198,5.8,137,197,10,1
147,198,6.0,137,197,10,1
147,198,6.2,137,197,10,1
147,198,6.4,137,197,10,1
147,198,6.6,137,197,10,1
147,198,6.8,137,197,10,1
147,198,7.0,137,197,10,1
147,198,7.2,137,197,10,1
147,198,7.4,137,197,10,1
147,198,7.6,137,197,10,1
147,198,7.8,137,197,10,1
147,198,8.0,137,197,10,1
147,198,8.2,137,197,10,1
147,198,8.4,137,197,10,1
147,198,8.6,137,197,10,1
147,198,8.8,137,197,10,1
147,198,9.0,137,197,10,1
147,198,9.2,137,197,10,1
147,198,9.4,137,197,10,1
147,198,9.6,137,197,10,1
147,198,9.8,137,197,10,1
147,198,10.0,137,197,10,1
147,198,10.2,137,197,10,1
147,198,10.4,137,197,10,1
147,198,20.0,137,197,10,1
147,198,30.0,137,197,10,1
147,198,40.0,137,197,10,1
147,198,50.0,136,197,11,1
147,198,60.0,136,197,11,1
147,198,70.0,136,197,11,1
147,198,80.0,136,197,11,1
147,198,90.0,136,197,11,1
147,198,100.0,136,197,11,1
