# Lambda,Accuracy,Misclassification,Precision of 2,Precision of 7,Recall of 2,Recall of 7
0.0,0.93043,0.06957,0.99432,0.86391,0.88384,0.99320
0.2,0.93043,0.06957,0.99432,0.86391,0.88384,0.99320
0.4,0.93043,0.06957,0.99432,0.86391,0.88384,0.99320
0.6,0.93043,0.06957,0.99432,0.86391,0.88384,0.99320
0.8,0.92754,0.07246,0.99429,0.85882,0.87879,0.99320
1.0,0.92754,0.07246,0.99429,0.85882,0.87879,0.99320
1.2,0.92754,0.07246,0.99429,0.85882,0.87879,0.99320
1.4,0.92754,0.07246,0.99429,0.85882,0.87879,0.99320
1.6,0.92754,0.07246,0.99429,0.85882,0.87879,0.99320
1.8,0.92754,0.07246,0.99429,0.85882,0.87879,0.99320
2.0,0.92754,0.07246,0.99429,0.85882,0.87879,0.99320
2.2,0.92754,0.07246,0.99429,0.85882,0.87879,0.99320
2.4,0.92754,0.07246,0.99429,0.85882,0.87879,0.99320
2.6,0.92754,0.07246,0.99429,0.85882,0.87879,0.99320
2.8,0.92754,0.07246,0.99429,0.85882,0.87879,0.99320
3.0,0.92754,0.07246,0.99429,0.85882,0.87879,0.99320
3.2,0.92754,0.07246,0.99429,0.85882,0.87879,0.99320
3.4,0.92754,0.07246,0.99429,0.85882,0.87879,0.99320
3.6,0.92464,0.07536,0.99425,0.85380,0.87374,0.99320
3.8,0.92464,0.07536,0.99425,0.85380,0.87374,0.99320
4.0,0.92464,0.07536,0.99425,0.85380,0.87374,0.99320
4.2,0.92464,0.07536,0.99425,0.85380,0.87374,0.99320
4.4,0.92464,0.07536,0.99425,0.85380,0.87374,0.99320
4.6,0.92464,0.07536,0.99425,0.85380,0.87374,0.99320
4.8,0.92464,0.07536,0.99425,0.85380,0.87374,0.99320
5.0,0.92464,0.07536,0.99425,0.85380,0.87374,0.99320
5.2,0.92464,0.07536,0.99425,0.85380,0.87374,0.99320
5.4,0.92464,0.07536,0.99425,0.85380,0.87374,0.99320
5.6,0.92464,0.07536,0.99425,0.85380,0.87374,0.99320
5.8,0.92754,0.07246,0.99429,0.85882,0.87879,0.99320
6.0,0.92754,0.07246,0.99429,0.85882,0.87879,0.99320
6.2,0.92754,0.07246,0.99429,0.85882,0.87879,0.99320
6.4,0.92754,0.07246,0.99429,0.85882,0.87879,0.99320
6.6,0.92754,0.07246,0.99429,0.85882,0.87879,0.99320
6.8,0.92754,0.07246,0.99429,0.85882,0.87879,0.99320
7.0,0.93043,0.06957,0.99432,0.86391,0.88384,0.99320
7.2,0.93043,0.06957,0.99432,0.86391,0.88384,0.99320
7.4,0.93043,0.06957,0.99432,0.86391,0.88384,0.99320
7.6,0.93043,0.06957,0.99432,0.86391,0.88384,0.99320
7.8,0.93043,0.06957,0.99432,0.86391,0.88384,0.99320
8.0,0.93043,0.06957,0.99432,0.86391,0.88384,0.99320
8.2,0.93043,0.06957,0.99432,0.86391,0.88384,0.99320
8.4,0.93043,0.06957,0.99432,0.86391,0.88384,0.99320
8.6,0.93043,0.06957,0.99432,0.86391,0.88384,0.99320
8.8,0.93043,0.06957,0.99432,0.86391,0.88384,0.99320
9.0,0.93043,0.06957,0.99432,0.86391,0.88384,0.99320
9.2,0.93043,0.06957,0.99432,0.86391,0.88384,0.99320
9.4,0.93043,0.06957,0.99432,0.86391,0.88384,0.99320
9.6,0.93043,0.06957,0.99432,0.86391,0.88384,0.99320
9.8,0.93043,0.06957,0.99432,0.86391,0.88384,0.99320
10.0,0.93043,0.06957,0.99432,0.86391,0.88384,0.99320
10.2,0.93043,0.06957,0.99432,0.86391,0.88384,0.99320
10.4,0.93043,0.06957,0.99432,0.86391,0.88384,0.99320
20.0,0.93043,0.06957,0.99432,0.86391,0.88384,0.99320
30.0,0.93043,0.06957,0.99432,0.86391,0.88384,0.99320
40.0,0.93333,0.06667,0.99435,0.86905,0.88889,0.99320
50.0,0.93043,0.06957,0.99432,0.86391,0.88384,0.99320
60.0,0.92464,0.07536,1.00000,0.84971,0.86869,1.00000
70.0,0.92464,0.07536,1.00000,0.84971,0.86869,1.00000
80.0,0.92464,0.07536,1.00000,0.84971,0.86869,1.00000
90.0,0.92464,0.07536,1.00000,0.84971,0.86869,1.00000
100.0,0.92174,0.07826,1.00000,0.84483,0.86364,1.00000
