# Lambda,Accuracy,Misclassification,Precision of 0,Precision of 3,Recall of 0,Recall of 3
0.2,0.96762,0.03238,0.97765,0.94611,0.97493,0.95181
0.4,0.96952,0.03048,0.98039,0.94643,0.97493,0.95783
0.6,0.96952,0.03048,0.98039,0.94643,0.97493,0.95783
0.8,0.96952,0.03048,0.98039,0.94643,0.97493,0.95783
1.0,0.96952,0.03048,0.98039,0.94643,0.97493,0.95783
1.2,0.97143,0.02857,0.98045,0.95210,0.97772,0.95783
1.4,0.97333,0.02667,0.98319,0.95238,0.97772,0.96386
1.6,0.97333,0.02667,0.98319,0.95238,0.97772,0.96386
1.8,0.97333,0.02667,0.98319,0.95238,0.97772,0.96386
2.0,0.97333,0.02667,0.98319,0.95238,0.97772,0.96386
2.2,0.97333,0.02667,0.98319,0.95238,0.97772,0.96386
2.4,0.97333,0.02667,0.98319,0.95238,0.97772,0.96386
2.6,0.97333,0.02667,0.98319,0.95238,0.97772,0.96386
2.8,0.97333,0.02667,0.98319,0.95238,0.97772,0.96386
3.0,0.97333,0.02667,0.98319,0.95238,0.97772,0.96386
3.2,0.97333,0.02667,0.98319,0.95238,0.97772,0.96386
3.4,0.97333,0.02667,0.98319,0.95238,0.97772,0.96386
3.6,0.97333,0.02667,0.98319,0.95238,0.97772,0.96386
3.8,0.97333,0.02667,0.98319,0.95238,0.97772,0.96386
4.0,0.97333,0.02667,0.98319,0.95238,0.97772,0.96386
4.2,0.97333,0.02667,0.98319,0.95238,0.97772,0.96386
4.4,0.97333,0.02667,0.98319,0.95238,0.97772,0.96386
4.6,0.97333,0.02667,0.98319,0.95238,0.97772,0.96386
4.8,0.97333,0.02667,0.98319,0.95238,0.97772,0.96386
5.0,0.97333,0.02667,0.98319,0.95238,0.97772,0.96386
5.2,0.97333,0.02667,0.98319,0.95238,0.97772,0.96386
5.4,0.97333,0.02667,0.98319,0.95238,0.97772,0.96386
5.6,0.97333,0.02667,0.98319,0.95238,0.97772,0.96386
5.8,0.97333,0.02667,0.98319,0.95238,0.97772,0.96386
6.0,0.97333,0.02667,0.98319,0.95238,0.97772,0.96386
6.2,0.97333,0.02667,0.98319,0.95238,0.97772,0.96386
6.4,0.97524,0.02476,0.98324,0.95808,0.98050,0.96386
6.6,0.97524,0.02476,0.98324,0.95808,0.98050,0.96386
6.8,0.97524,0.02476,0.98324,0.95808,0.98050,0.96386
7.0,0.97524,0.02476,0.98324,0.95808,0.98050,0.96386
7.2,0.97524,0.02476,0.98324,0.95808,0.98050,0.96386
7.4,0.97524,0.02476,0.98324,0.95808,0.98050,0.96386
7.6,0.97524,0.02476,0.98324,0.95808,0.98050,0.96386
7.8,0.97524,0.02476,0.98324,0.95808,0.98050,0.96386
8.0,0.97524,0.02476,0.98324,0.95808,0.98050,0.96386
8.2,0.97524,0.02476,0.98324,0.95808,0.98050,0.96386
8.4,0.97524,0.02476,0.98324,0.95808,0.98050,0.96386
8.6,0.97524,0.02476,0.98324,0.95808,0.98050,0.96386
8.8,0.97524,0.02476,0.98324,0.95808,0.98050,0.96386
9.0,0.97524,0.02476,0.98324,0.95808,0.98050,0.96386
9.2,0.97714,0.02286,0.98329,0.96386,0.98329,0.96386
9.4,0.97714,0.02286,0.98329,0.96386,0.98329,0.96386
9.6,0.97714,0.02286,0.98329,0.96386,0.98329,0.96386
9.8,0.97714,0.02286,0.98329,0.96386,0.98329,0.96386
10.0,0.97714,0.02286,0.98329,0.96386,0.98329,0.96386
10.2,0.97714,0.02286,0.98329,0.96386,0.98329,0.96386
10.4,0.97714,0.02286,0.98329,0.96386,0.98329,0.96386
20.0,0.97905,0.02095,0.98603,0.96407,0.98329,0.96988
30.0,0.97714,0.02286,0.98329,0.96386,0.98329,0.96386
40.0,0.97714,0.02286,0.98329,0.96386,0.98329,0.96386
50.0,0.98095,0.01905,0.98880,0.96429,0.98329,0.97590
60.0,0.98095,0.01905,0.98880,0.96429,0.98329,0.97590
70.0,0.98095,0.01905,0.98880,0.96429,0.98329,0.97590
80.0,0.98095,0.01905,0.98880,0.96429,0.98329,0.97590
90.0,0.98095,0.01905,0.98880,0.96429,0.98329,0.97590
100.0,0.98095,0.01905,0.98880,0.96429,0.98329,0.97590
